transaction_id,time_id,product_id,farmer_id,warehouse_id,retail_partner_id,quantity_kg,price_per_kg,shipping_cost,shipment_id
63,820,330,34,818,600,211.47,7607.42,101733.49,750
64,240,720,395,138,445,79.74,10777.02,106084.97,893
65,406,108,906,321,698,106.77,11630.09,74986.0,228
66,280,911,420,722,955,238.07,7002.12,80632.5,953
67,933,954,444,853,250,483.89,13164.63,50150.24,703
68,682,834,821,735,32,272.43,9714.82,102198.03,493
69,503,504,618,561,875,415.8,14847.1,81653.71,59
70,110,687,343,551,864,118.39,8852.76,192966.43,108
71,874,741,231,178,210,359.75,5184.87,100734.32,773
72,256,162,280,802,417,118.88,4589.64,115953.39,204
73,773,759,732,500,806,382.7,14495.81,121585.08,273
74,334,657,699,599,490,496.18,3395.49,145115.08,14
75,579,462,628,151,729,339.94,9436.36,156028.22,731
76,427,557,145,202,469,340.31,11620.4,194995.57,28
77,985,88,755,27,752,283.03,13548.41,52315.11,30
78,819,969,488,564,375,189.0,7077.48,187080.02,252
79,959,950,791,401,342,146.09,10559.91,139815.49,59
80,307,965,166,857,194,154.29,14173.59,169819.49,9
81,964,753,262,273,954,272.94,4310.75,77779.27,435
82,225,97,114,329,89,193.13,9535.56,96110.48,963
83,441,485,908,585,954,201.05,3595.45,159638.01,45
84,191,971,699,380,651,222.05,12541.14,89768.49,707
85,29,770,761,438,367,98.67,7549.18,156988.67,686
86,338,348,406,696,972,146.92,13884.07,80626.15,372
87,705,96,337,683,96,90.02,12360.15,188926.84,829
88,308,893,853,876,337,86.49,12084.12,52393.49,524
89,609,99,952,359,729,360.69,7457.03,113499.79,28
90,299,824,931,760,174,181.96,9258.99,166972.97,422
91,104,92,854,743,692,219.37,4732.69,101549.62,399
92,673,114,470,316,652,395.91,14774.84,174656.4,768
93,333,990,992,111,964,191.12,9596.06,137079.13,386
94,875,641,153,207,817,447.71,3562.64,107071.31,59
95,109,703,379,153,997,375.29,6571.61,88408.52,331
96,305,738,786,504,585,414.53,4965.76,153594.15,411
97,353,128,939,882,51,270.7,12160.26,153778.5,523
98,124,183,607,732,790,172.94,12739.51,145221.27,695
99,473,401,554,633,50,437.04,13237.13,185703.04,245
